Retailer,Address,CITY,ZIP,County,Game,Year,Month,Sales
FUEL EXPRESS,RT 3 BOX 3298,ALTON,65606,OREGON,TRIPLE PLAY,2016,1,6
T-BONES DELI & MEAT MARKET,27900 E COLBERN RD,LAKE LOTAWANA,64086,JACKSON,TRIPLE PLAY,2016,1,2
ALTON QUICK CONNECTION,HWY 160 W,ALTON,65606,OREGON,TRIPLE PLAY,2016,1,4
JORDAN VALLEY MARKET,2918 N VANDEVENTER AVE,ST LOUIS,63107,ST. LOUIS CITY,TRIPLE PLAY,2016,1,16
OLIVE MART,12915 OLIVE ARCADE PLZ,ST LOUIS,63141,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,92
OLIVE MART,12915 OLIVE ARCADE PLZ,ST LOUIS,63141,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
RICHWOOD FARM FEED & FUEL,17203 W STATE HWY 47,RICHWOODS,63071,WASHINGTON,TRIPLE PLAY,2016,1,4
RICHWOOD FARM FEED & FUEL,17203 W STATE HWY 47,RICHWOODS,63071,WASHINGTON,TRIPLE PLAY,2016,2,0
IN & OUT MARKET,1133 BELLEVUE AVE,ST LOUIS,63117,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,8
PETRO MART 22,715 N STATE HIGHWAY 47,WARRENTON,63383,WARREN,TRIPLE PLAY,2016,1,52
SAFI INC NEW HALLS FERRY,10633 NEW HALLS FERRY RD,FERGUSON,63136,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,44
NATURAL BRIDGE BP,5003 NATURAL BRIDGE BLVD,ST LOUIS,63115,ST. LOUIS CITY,TRIPLE PLAY,2016,1,26
NATURAL BRIDGE BP,5003 NATURAL BRIDGE BLVD,ST LOUIS,63115,ST. LOUIS CITY,TRIPLE PLAY,2016,2,0
COUNTRY MART 2442,1204 HWY 32 E,SALEM,65560,DENT,TRIPLE PLAY,2016,1,12
WHITE OAK STATION 18,31418 STATE HWY 37,SELIGMAN,65745,BARRY,TRIPLE PLAY,2016,1,4
CONOCO,11603 GRAVOIS RD,ST LOUIS,63126,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,22
XPRESS MART 5,1214 N BLUFF ST,FULTON,65251,CALLAWAY,TRIPLE PLAY,2016,1,20
PRICE CHOPPER 359,109 N CEDAR DR,BELTON,64012,CASS,TRIPLE PLAY,2016,1,142
PRICE CHOPPER 359,109 N CEDAR DR,BELTON,64012,CASS,TRIPLE PLAY,2016,2,0
PRICE CHOPPER 359,109 N CEDAR DR,BELTON,64012,CASS,TRIPLE PLAY,2016,5,0
BRANDING IRON,12142 N STATE HWY 5,SUNRISE BEACH,65079,CAMDEN,TRIPLE PLAY,2016,1,2
SPRING MART,500 E DRIPPING SPRGS RD,COLUMBIA,65202,BOONE,TRIPLE PLAY,2016,1,8
VILLAGE MART 19,229 VILLAGE CENTER,NIXA,65714,CHRISTIAN,TRIPLE PLAY,2016,1,30
VILLAGE MART 19,229 VILLAGE CENTER,NIXA,65714,CHRISTIAN,TRIPLE PLAY,2016,2,0
BRUSH CREEK GAS & GO LLC,N 3674 HWY 61,SILEX,63377,LINCOLN,TRIPLE PLAY,2016,1,12
PURE COUNTRY 76,1029 W MAIN ST,BRANSON,65616,TANEY,TRIPLE PLAY,2016,1,78
RAYTOWN CONOCO,11700 E STATE ROUTE 350,RAYTOWN,64138,JACKSON,TRIPLE PLAY,2016,1,14
MOSCOW CROSSING,125 JOHN DEERE DR,MOSCOW MILLS,63362,LINCOLN,TRIPLE PLAY,2016,1,56
MOSCOW CROSSING,125 JOHN DEERE DR,MOSCOW MILLS,63362,LINCOLN,TRIPLE PLAY,2016,2,0
CLAYTON & PRICE SERVICE,9201 CLAYTON RD,ST LOUIS,63124,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,10
CLAYTON & BIG BEND SERVICE,7001 CLAYTON DR,ST LOUIS,63117,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,10
CLAYTON & BIG BEND SERVICE,7001 CLAYTON DR,ST LOUIS,63117,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
TESSON FERRY MARKET,11722 BAPTIST CHURCH RD,ST LOUIS,63128,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,60
JUST A-LITTLE STORE,1825 STATE RD A,MONTREAL,65591,CAMDEN,TRIPLE PLAY,2016,1,4
DISCOUNT SMOKES & LIQUOR,150 S COMMERCIAL ST,HARRISONVILLE,64701,CASS,TRIPLE PLAY,2016,1,22
DOBYN'S MARKET,108 W MAPLE ST,SHELBINA,63468,SHELBY,TRIPLE PLAY,2016,1,4
